frame 67 : (141,75), (131,96), (132,172), (137,241), (132,258), (182,268), (194,258)
frame 68 : (141,75), (131,96), (132,172), (137,241), (132,258), (182,268), (194,258)
frame 69 : (142,75), (131,96), (132,172), (137,241), (133,258), (182,268), (194,258)
frame 70 : (142,75), (132,96), (132,172), (137,241), (132,258), (182,268), (194,258)
frame 71 : (143,75), (132,97), (133,172), (137,241), (132,258), (182,268), (194,258)
frame 72 : (143,75), (132,97), (133,172), (137,241), (132,258), (182,268), (194,258)
frame 73 : (143,75), (133,97), (133,172), (137,241), (132,258), (182,268), (194,258)
frame 74 : (144,75), (133,97), (133,172), (137,241), (132,258), (182,268), (194,258)
frame 75 : (144,75), (134,97), (133,172), (137,241), (132,258), (182,268), (194,258)
frame 76 : (144,75), (134,97), (133,172), (137,241), (132,258), (182,268), (194,258)
frame 77 : (145,75), (134,97), (134,172), (137,241), (132,258), (182,268), (194,258)
frame 78 : (145,75), (134,97), (134,172), (137,241), (132,258), (182,268), (194,258)
frame 79 : (145,76), (135,97), (134,172), (137,240), (132,258), (182,268), (194,258)
frame 80 : (145,76), (135,97), (134,172), (137,240), (132,258), (182,268), (194,258)
frame 81 : (146,76), (135,97), (134,172), (137,240), (132,258), (182,268), (194,258)
frame 82 : (146,76), (136,97), (135,172), (137,241), (132,258), (182,268), (194,258)
frame 83 : (147,76), (136,97), (135,172), (137,241), (132,258), (182,268), (194,258)
frame 84 : (147,76), (136,97), (135,172), (137,241), (132,258), (182,268), (194,258)
frame 85 : (147,76), (137,97), (135,172), (137,241), (132,258), (182,268), (194,258)
frame 86 : (148,76), (137,97), (135,172), (137,241), (132,258), (182,268), (194,258)
frame 87 : (148,76), (137,97), (135,172), (137,241), (132,258), (182,268), (194,258)
frame 88 : (148,76), (137,97), (135,172), (137,241), (132,258), (182,268), (194,258)
frame 89 : (149,76), (138,97), (136,172), (137,241), (132,258), (182,268), (194,258)
frame 90 : (149,76), (138,97), (136,172), (137,241), (132,258), (182,268), (194,258)
frame 91 : (149,76), (138,97), (136,172), (137,241), (132,258), (182,268), (194,258)
frame 92 : (150,77), (139,97), (136,173), (137,241), (132,258), (182,268), (194,258)
frame 93 : (150,77), (139,98), (136,173), (137,241), (132,258), (182,268), (194,258)
frame 94 : (150,77), (139,98), (136,173), (137,241), (132,258), (182,268), (194,258)
frame 95 : (151,77), (139,98), (136,173), (137,241), (132,258), (181,268), (194,259)
frame 96 : (151,77), (140,98), (136,173), (138,241), (132,258), (181,268), (194,259)
frame 97 : (152,77), (140,98), (137,173), (137,241), (132,258), (182,268), (194,259)
frame 98 : (152,77), (140,98), (137,173), (137,241), (132,258), (182,268), (194,259)
frame 99 : (152,77), (141,98), (137,173), (137,241), (132,258), (182,268), (194,259)
frame 100 : (152,77), (141,98), (137,173), (137,241), (132,258), (182,268), (194,259)
frame 101 : (153,77), (142,98), (137,173), (137,241), (132,258), (181,268), (194,259)
frame 102 : (153,77), (142,98), (137,173), (137,241), (132,258), (182,269), (194,259)
frame 103 : (153,77), (142,98), (137,173), (137,241), (132,258), (182,269), (194,259)
frame 104 : (154,77), (142,98), (138,173), (137,241), (132,258), (181,269), (194,259)
frame 105 : (154,78), (143,98), (138,173), (137,241), (132,258), (181,269), (194,259)
frame 106 : (154,78), (143,98), (138,173), (137,241), (132,258), (181,269), (194,259)
frame 107 : (155,78), (143,98), (138,173), (137,241), (132,258), (181,269), (194,259)
frame 108 : (155,78), (143,98), (138,173), (137,241), (132,258), (181,269), (194,259)
frame 109 : (155,78), (144,98), (138,173), (137,241), (132,258), (181,269), (194,259)
frame 110 : (156,78), (144,99), (139,173), (137,241), (132,258), (181,269), (194,260)
frame 111 : (156,78), (144,99), (139,173), (137,241), (132,258), (181,269), (194,260)
frame 112 : (157,78), (145,99), (139,173), (137,241), (132,258), (181,269), (194,260)
frame 113 : (157,78), (145,99), (139,173), (137,241), (132,258), (181,269), (194,260)
frame 114 : (157,78), (145,99), (139,173), (137,241), (132,258), (181,269), (194,260)
frame 115 : (157,78), (145,99), (139,173), (138,241), (132,258), (181,269), (194,260)
frame 116 : (158,78), (146,99), (140,174), (138,241), (132,258), (181,269), (194,260)
frame 117 : (158,78), (146,99), (140,174), (138,241), (132,258), (181,269), (194,260)
frame 118 : (159,78), (147,99), (140,174), (138,241), (132,258), (181,269), (194,260)
frame 119 : (159,79), (147,99), (140,174), (138,241), (132,258), (181,269), (194,260)
frame 120 : (159,79), (147,99), (140,174), (138,241), (132,258), (181,269), (194,260)
frame 121 : (160,79), (148,99), (140,174), (138,241), (133,258), (181,269), (194,260)
frame 122 : (160,79), (148,99), (140,174), (138,241), (133,258), (181,269), (194,260)
frame 123 : (161,79), (148,99), (140,174), (138,241), (133,258), (181,269), (195,260)
frame 124 : (161,79), (149,99), (141,174), (138,241), (133,258), (181,269), (195,260)
frame 125 : (161,79), (149,99), (141,174), (138,241), (133,258), (181,269), (195,260)
frame 126 : (162,79), (149,99), (142,173), (138,241), (133,258), (181,269), (195,260)
frame 127 : (162,79), (150,99), (142,174), (138,241), (133,258), (181,269), (195,260)
frame 128 : (163,79), (150,99), (142,173), (138,240), (133,258), (181,269), (195,260)
frame 129 : (163,79), (151,99), (142,173), (138,240), (133,258), (181,269), (194,260)
frame 130 : (163,79), (151,99), (142,173), (138,240), (133,258), (181,269), (195,260)
frame 131 : (164,79), (151,99), (142,173), (138,240), (133,258), (181,269), (195,260)
frame 132 : (164,79), (152,99), (142,173), (138,240), (133,258), (181,269), (195,260)
frame 133 : (165,79), (152,99), (143,173), (138,240), (133,258), (181,269), (194,260)
frame 134 : (165,79), (153,99), (143,173), (138,240), (133,258), (181,269), (195,260)
frame 135 : (166,79), (153,99), (143,173), (138,240), (133,258), (181,269), (195,260)
frame 136 : (166,79), (154,99), (143,173), (138,240), (133,257), (181,269), (195,260)
frame 137 : (167,79), (154,99), (144,173), (138,240), (133,257), (181,269), (195,260)
frame 138 : (167,79), (155,99), (144,173), (138,240), (133,257), (181,269), (195,260)
frame 139 : (168,79), (155,100), (144,173), (138,240), (133,257), (181,269), (195,260)
frame 140 : (169,79), (155,99), (144,173), (138,240), (133,257), (181,269), (195,260)
frame 141 : (169,80), (156,100), (145,173), (138,240), (133,257), (181,269), (195,260)
frame 142 : (169,80), (156,100), (145,173), (139,239), (133,257), (181,269), (195,260)
frame 143 : (170,80), (157,100), (145,173), (139,239), (133,257), (181,269), (195,260)
frame 144 : (170,80), (157,100), (145,173), (139,239), (133,257), (181,269), (195,260)
frame 145 : (171,80), (158,100), (146,173), (139,239), (133,257), (181,269), (195,260)
frame 146 : (171,80), (158,100), (146,173), (139,239), (133,257), (181,269), (195,260)
frame 147 : (172,80), (158,100), (146,173), (139,239), (134,257), (181,269), (195,260)
frame 148 : (172,80), (159,100), (146,173), (139,239), (134,256), (181,269), (195,260)
frame 149 : (173,80), (159,100), (146,173), (139,239), (134,256), (181,269), (195,261)
frame 150 : (173,80), (160,100), (147,173), (139,239), (134,256), (181,269), (195,261)
frame 151 : (174,80), (160,100), (147,173), (139,239), (134,256), (181,269), (195,261)
frame 152 : (175,80), (161,100), (147,173), (140,239), (134,256), (181,269), (195,261)
frame 153 : (175,80), (161,100), (148,172), (140,239), (134,256), (181,269), (195,261)
frame 154 : (176,80), (162,100), (148,173), (140,238), (134,256), (181,269), (195,261)
frame 155 : (177,80), (163,100), (148,172), (140,238), (134,255), (181,269), (195,261)
frame 156 : (177,80), (163,99), (149,172), (140,238), (134,255), (181,269), (195,261)
frame 157 : (178,80), (164,99), (149,172), (140,238), (134,255), (181,269), (195,261)
frame 158 : (178,80), (164,99), (149,172), (140,238), (134,255), (181,269), (195,261)
frame 159 : (179,80), (165,99), (149,172), (140,237), (134,254), (181,269), (195,261)
frame 160 : (180,80), (166,99), (150,172), (140,237), (134,254), (181,269), (195,261)
frame 161 : (181,80), (166,99), (150,171), (140,237), (134,254), (181,269), (195,261)
frame 162 : (182,80), (167,99), (151,171), (140,237), (135,254), (181,269), (195,261)
frame 163 : (182,80), (168,99), (151,171), (141,236), (135,253), (181,269), (195,261)
frame 164 : (183,80), (168,99), (151,171), (141,236), (134,253), (181,269), (195,261)
frame 165 : (184,80), (169,99), (152,170), (141,236), (135,253), (181,269), (195,261)
frame 166 : (185,80), (170,99), (152,170), (141,236), (135,252), (181,269), (195,261)
frame 167 : (185,79), (170,99), (152,170), (141,236), (135,252), (181,269), (195,261)
frame 168 : (186,79), (171,98), (153,170), (141,235), (135,252), (181,269), (195,260)
frame 169 : (187,79), (172,98), (153,169), (141,235), (135,251), (181,269), (195,260)
frame 170 : (188,79), (173,98), (154,169), (141,234), (135,251), (181,269), (195,260)
frame 171 : (189,79), (174,98), (154,169), (141,234), (135,250), (181,269), (195,260)
